TIME	Well-1	Well-2	Well-3	Well-4	Well-5	Well-6
0   0.0 0.0 0.0 0.0 0.0 0.0
31  3874.9  5425.0  23249.9 82204.1 46139.4 30998.7
59  3499.9  4900.0  20999.9 67748.2 39799.6 27998.8
90  3874.9  5425.0  23249.9 72684.0 43305.2 30998.7
120 3749.9  5250.0  22499.9 68828.1 41399.5 29998.7
151 3874.9  5425.0  23249.9 69947.0 42369.3 30998.7
181 3749.9  5250.0  22499.9 66757.5 40664.4 29998.7
212 3874.9  5425.0  23249.9 68152.3 41707.5 30998.7
243 3874.9  5425.0  23249.9 67400.6 41414.5 30998.7
273 3749.9  5250.0  22499.9 64574.6 39815.1 29998.7
304 3729.1  5168.8  25986.1 66102.9 40881.4 40963.7
334 2757.6  3617.1  39083.3 63403.8 39317.8 82493.0
365 2870.6  3834.9  38659.8 64962.8 40378.7 78092.2
396 2865.3  3838.7  37766.9 64425.3 40119.9 75009.2
424 2579.1  3447.1  33526.7 57746.4 36009.6 65837.4
455 2843.5  3783.5  36569.8 63457.8 39612.9 71145.2
485 2738.5  3623.7  34900.3 60947.8 38079.3 67322.1
516 2814.7  3703.8  35601.1 62512.5 39085.2 68146.1
546 2708.1  3544.6  34035.4 60053.1 37570.6 64683.7
577 2781.0  3622.4  34763.5 61606.1 38562.3 65621.4
608 2762.4  3582.2  34370.4 61157.9 38298.7 64453.3
638 2654.8  3429.3  32903.3 58764.6 36813.3 61316.8
669 2723.4  3506.1  33643.4 60296.0 37783.4 62315.4
699 2615.9  3357.7  32224.1 57942.8 36316.4 59332.1
730 2682.3  3434.1  32963.3 59458.4 37271.7 60339.1
761 2660.8  3398.8  32632.0 59041.1 37013.0 59384.8
789 2384.6  3040.3  29195.9 52973.5 33209.5 52840.6
820 2619.2  3333.9  32022.8 58261.6 36523.1 57643.9
850 2513.6  3194.9  30694.2 55999.1 35101.3 54947.5
881 2575.5  3269.5  31417.8 57474.3 36020.3 55935.1
911 2471.2  3133.7  30119.5 55245.9 34616.6 53334.0
942 2531.6  3207.4  30834.0 56704.5 35521.8 54306.5
973 2509.3  3176.6  30544.3 56319.8 35270.4 53506.1
